Clean Feature Name,Center Latitude,Center Longitude,Coordinate System,Distance from the South Pole (km)
﻿Challis,79.58,9.09,"Planetographic, +East, -180 - 180",5142.233764927269
﻿Chalonge,-20.44,-116.35,"Planetographic, +East, -180 - 180",2109.2922555038385
﻿Chamberlin,-58.83,96.04,"Planetographic, +East, -180 - 180",945.1788327207394
﻿Champollion,37.39,175.03,"Planetographic, +East, -180 - 180",3862.891610532403
﻿Chandler,43.65,171.76,"Planetographic, +East, -180 - 180",4052.7157841875787
﻿Chang Heng,18.9,112.21,"Planetographic, +East, -180 - 180",3302.212861189878
﻿Chang Ngo,-12.69,-2.16,"Planetographic, +East, -180 - 180",2344.2982212909965
﻿Chant,-40.14,-109.46,"Planetographic, +East, -180 - 180",1511.922252148093
﻿Chaplygin,-5.76,150.24,"Planetographic, +East, -180 - 180",2554.4390397303523
﻿Chapman,50.09,-100.47,"Planetographic, +East, -180 - 180",4247.998160919101
﻿Chappe,-61.29,-91.24,"Planetographic, +East, -180 - 180",870.5833906773317
﻿Chappell,54.53,-176.77,"Planetographic, +East, -180 - 180",4382.633836802325
﻿Charles,29.9,-26.37,"Planetographic, +East, -180 - 180",3635.769715855524
﻿Charlier,36.22,-131.69,"Planetographic, +East, -180 - 180",3827.413290536147
﻿Chaucer,3.39,-140.71,"Planetographic, +East, -180 - 180",2831.89769611132
﻿Chauvenet,-11.64,137.2,"Planetographic, +East, -180 - 180",2376.137739236354
﻿Chawla,-42.48,-147.49,"Planetographic, +East, -180 - 180",1440.9656121555836
﻿Chebyshev,-34.01,-132.88,"Planetographic, +East, -180 - 180",1697.8043902481297
﻿Chernyshev,47.01,174.41,"Planetographic, +East, -180 - 180",4154.602241612721
﻿C  Herschel,34.48,-31.29,"Planetographic, +East, -180 - 180",3774.6506607981273
﻿Chevallier,45.01,51.57,"Planetographic, +East, -180 - 180",4093.9555407644216
﻿Ching Te,20.02,29.97,"Planetographic, +East, -180 - 180",3336.175013664926
﻿Chladni,3.99,1.12,"Planetographic, +East, -180 - 180",2850.09170636581
﻿Chretien,-46.11,162.99,"Planetographic, +East, -180 - 180",1330.891850115921
﻿Cichus,-33.29,-21.18,"Planetographic, +East, -180 - 180",1719.6372025535172
﻿Clairaut,-47.84,13.86,"Planetographic, +East, -180 - 180",1278.4324538821422
﻿Clark,-38.67,119.35,"Planetographic, +East, -180 - 180",1556.497577271593
﻿Clausius,-36.9,-43.93,"Planetographic, +East, -180 - 180",1610.1699075223376
﻿Clavius,-58.62,-14.73,"Planetographic, +East, -180 - 180",951.5467363098112
﻿Cleomedes,27.6,55.5,"Planetographic, +East, -180 - 180",3566.0260098799795
﻿Cleostratus,60.32,-77.4,"Planetographic, +East, -180 - 180",4558.20603575815
﻿Clerke,21.68,29.8,"Planetographic, +East, -180 - 180",3386.5117753690142
﻿C  Mayer,63.26,17.31,"Planetographic, +East, -180 - 180",4647.35668600515
﻿Coblentz,-38.09,126.65,"Planetographic, +East, -180 - 180",1574.0851205175998
﻿Cockcroft,31.09,-162.91,"Planetographic, +East, -180 - 180",3671.8545028602607
﻿Collins,1.3,23.71,"Planetographic, +East, -180 - 180",2768.521893724848
﻿Colombo,-15.26,46.02,"Planetographic, +East, -180 - 180",2266.3672107009324
﻿Compton,55.86,104.05,"Planetographic, +East, -180 - 180",4422.9638928664435
﻿Comrie,23.39,-113.17,"Planetographic, +East, -180 - 180",3438.36470459431
﻿Comstock,21.59,-122.05,"Planetographic, +East, -180 - 180",3383.782673830841
﻿Condon,1.87,60.36,"Planetographic, +East, -180 - 180",2785.8062034666127
﻿Condorcet,12.1,69.58,"Planetographic, +East, -180 - 180",3096.014078305662
﻿Congreve,-0.28,-167.84,"Planetographic, +East, -180 - 180",2720.611000054692
﻿Conon,21.66,1.95,"Planetographic, +East, -180 - 180",3385.9053083605313
﻿Cook,-17.5,48.81,"Planetographic, +East, -180 - 180",2198.4429057508373
﻿Cooper,52.68,175.92,"Planetographic, +East, -180 - 180",4326.535638517649
﻿Copernicus,9.62,-20.08,"Planetographic, +East, -180 - 180",3020.8121692537716
﻿Cori,-50.48,-152.91,"Planetographic, +East, -180 - 180",1198.378808762388
