Feature Name,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Feature Type,Approval Status,Origin
Biot,Biot,Moon,13.01,-22.70,51.08,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Jean-Baptiste; French astronomer (1774-1862).
Birkeland,Birkeland,Moon,81.64,-30.17,174.01,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Olaf Kristian; Norwegian physicist (1867-1917).
Birkhoff,Birkhoff,Moon,329.81,58.45,-145.65,"Planetographic, +East, -180 - 180","Crater, craters",Approved,George David; American mathematician (1884-1944).
Birmingham,Birmingham,Moon,89.92,65.12,-10.70,"Planetographic, +East, -180 - 180","Crater, craters",Approved,John; Irish astronomer (1816-1884).
Birt,Birt,Moon,15.81,-22.36,-8.59,"Planetographic, +East, -180 - 180","Crater, craters",Approved,William R.; British selenographer (1804-1881).
Bi Sheng,Bi Sheng,Moon,55.27,78.35,148.46,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Chinese inventor (c. 990-1051).
Bjerknes,Bjerknes,Moon,48.18,-38.50,113.69,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Vilhelm Friman Koren; Norwegian physicist (1862-1951).
Black,Black,Moon,19.46,-9.20,80.39,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Joseph; French chemist (1728-1799).
Blackett,Blackett,Moon,145.31,-37.55,-115.84,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Patrick Maynard Stuart; British physicist; Nobel laureate (1897-1974).
Blagg,Blagg,Moon,4.97,1.22,1.46,"Planetographic, +East, -180 - 180","Crater, craters",Approved,Mary Adela; British astronomer (1858-1944).
